FixationIndex	Timestamp	FixationDuration	FixationPointX	FixationPointY	StimuliName
348	128294	159	300	30	www.avg.com
349	128453	339	265	34	www.avg.com
350	128792	299	419	166	www.avg.com
351	129092	379	665	125	www.avg.com
352	129470	219	722	56	www.avg.com
353	129690	299	968	52	www.avg.com
354	129988	399	948	288	www.avg.com
355	130387	259	528	181	www.avg.com
356	130646	180	603	136	www.avg.com
357	130826	279	412	461	www.avg.com
358	131105	359	538	427	www.avg.com
359	131464	140	271	391	www.avg.com
360	131604	279	227	379	www.avg.com
361	131883	200	345	371	www.avg.com
362	132082	199	535	230	www.avg.com
363	132281	399	588	203	www.avg.com
364	132680	359	926	284	www.avg.com
365	133039	239	976	299	www.avg.com
366	133278	199	875	270	www.avg.com
367	133478	220	645	126	www.avg.com
368	133697	179	607	122	www.avg.com
369	133876	199	689	117	www.avg.com
370	134076	299	472	253	www.avg.com
371	134375	219	328	574	www.avg.com
372	134594	359	238	628	www.avg.com
373	134953	259	446	644	www.avg.com
374	135212	159	875	720	www.avg.com
375	135372	239	975	797	www.avg.com
376	135611	299	948	671	www.avg.com
377	135910	299	647	441	www.avg.com
378	136209	299	532	434	www.avg.com
379	136508	578	633	430	www.avg.com
380	137087	199	876	453	www.avg.com
381	137286	279	941	450	www.avg.com
382	137565	239	506	266	www.avg.com
383	137804	159	289	398	www.avg.com
384	137963	159	234	418	www.avg.com
385	138123	439	330	379	www.avg.com
386	138561	199	546	225	www.avg.com
387	138761	219	603	222	www.avg.com
388	138980	259	434	210	www.avg.com
389	139239	379	319	236	www.avg.com
390	139618	259	239	455	www.avg.com
391	139877	279	326	446	www.avg.com
392	140156	439	329	387	www.avg.com
393	140595	140	239	387	www.avg.com
394	140735	419	240	448	www.avg.com
395	141153	239	522	453	www.avg.com
396	141393	159	791	461	www.avg.com
397	141552	140	860	462	www.avg.com
398	141692	239	940	453	www.avg.com
399	141931	179	942	301	www.avg.com
400	142110	219	521	184	www.avg.com
401	142330	618	294	157	www.avg.com
402	142948	419	272	46	www.avg.com
403	143366	219	466	124	www.avg.com
404	143586	339	624	117	www.avg.com
405	143925	239	610	232	www.avg.com
406	144164	538	940	285	www.avg.com
407	144702	179	983	297	www.avg.com
408	144882	279	661	226	www.avg.com
409	145161	419	936	285	www.avg.com
